,home_team,home_score,home_scorers,away_team,away_score,away_scorers
3719,Chelsea,3,"['Terry', 'Sturridge', 'Mata']",Wolverhampton,0,[]
3720,Stoke City,3,"['Delap', 'Whelan', 'Crouch']",Blackburn Rovers,1,['Rochina']
3721,Manchester United,1,['Hernandez'],Newcastle United,1,['Ba']
3722,Tottenham Hotspur,2,"['Adebayor', 'Adebayor']",Aston Villa,0,[]
3723,Chelsea,1,['Sturridge'],Liverpool,2,"['Rodriguez', 'Johnson']"
3724,Wigan Athletic,3,"['Gomez', 'Caldwell', 'Crusat']",Blackburn Rovers,3,"['Yakubu', 'Hoilett', 'Yakubu']"
3725,Manchester City,3,"['Balotelli', 'Richards', 'Ag?ero']",Newcastle United,1,['Gosling']
3726,Swansea City,0,[],Manchester United,1,['Hernandez']
3727,Norwich City,1,['Morison'],Arsenal,2,"['Persie', 'Persie']"
3728,West Bromwich Albion,2,"['Thomas', 'Long']",Bolton Wanderers,1,['Klasnic']
3729,Stoke City,2,"['Walters', 'Shawcross']",Queens Park Rangers,3,"['Helguson', 'Young', 'Helguson']"
3730,Sunderland,0,[],Fulham,0,[]
3731,Everton,2,"['Jagielka', 'Baines']",Wolverhampton,1,['Hunt']
3732,Wolverhampton,3,"[""O'Hara"", 'Edwards', 'Ward']",Wigan Athletic,1,['Watson']
3733,Bolton Wanderers,5,"['Davies', 'Eagles', 'Klasnic', 'Eagles', 'Klasnic']",Stoke City,0,[]
3734,Aston Villa,3,"['Bent', 'Agbonlahor', 'Bent']",Norwich City,2,"['Pilkington', 'Morison']"
3735,Blackburn Rovers,0,[],Chelsea,1,['Lampard']
3736,Arsenal,3,"['Persie', 'Vermaelen', 'Arteta']",West Bromwich Albion,0,[]
3737,Liverpool,0,[],Swansea City,0,[]
3738,Queens Park Rangers,2,"['Bothroyd', 'Helguson']",Manchester City,3,"['Dzeko', 'Silva', 'Tour?']"
3739,Stoke City,1,['Walters'],Newcastle United,3,"['Ba', 'Ba', 'Ba']"
3740,Tottenham Hotspur,3,"['Bale', 'Vaart', 'Bale']",Queens Park Rangers,1,['Bothroyd']
3741,Norwich City,3,"['Morison', 'Johnson', 'Holt']",Blackburn Rovers,3,"['Hoilett', 'Yakubu', 'Samba']"
3742,Manchester City,3,"['Dzeko', 'Kolarov', 'Johnson']",Wolverhampton,1,['Hunt']
